"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"11965","Normal/Others","WS/MP351/2025-2026/146785-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of 01 Electronic Wheel Chair for Differently abled person- Kannur Corporation -Division-No.38","Shri Kumbakudi Sudhakaran","KANNUR","Images","29-Jul-2025","125000"
"11966","Normal/Others","WS/MP529/2024-2025/147339-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Construction of CC road from Nadamuni house to Munikrishna Reddy house in VR Kandriga Habitaiton of Kotramangalam GP in Renigunta Mandal.","Maddila Gurumoorthy","TIRUPATI(SC)","Images","29-Jul-2025","264519"
"11967","Normal/Others","WS/MP351/2025-2026/146784-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Purchase of 01 Electronic Wheel Chair for Differently abled person- Kannur Corporation -Division-No.38","Shri Kumbakudi Sudhakaran","KANNUR","Images","29-Jul-2025","125000"
"11968","Normal/Others","WS/MP529/2024-2025/147340-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Construction of CC road from Ramalayam Temple to Rangamuni house in VR Kandriga Habitation of Kotramangalam GP in Renigunta Mandal.","Maddila Gurumoorthy","TIRUPATI(SC)","Images","29-Jul-2025","387426"
"11969","Normal/Others","WS/MP638/2025-2026/152378-Construction of public toilets and bathrooms","Madhya Pradesh","TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA)","Paragarh Talaiya ke Ghaat Par Shed Nirman","Virendra Kumar","TIKAMGARH(SC)","Images","06-Nov-2025","249039"
"11970","Normal/Others","WS/MP370/2024-2025/174614-Construction of community centers and community halls","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Completion of Community Centre at Chakramal, GP Mahulpali","Shri Jual Oram","SUNDARGARH (ST)","Images","29-Jul-2025","300000"
"11971","Normal/Others","WS/MP18384/2024-2025/177839-Construction of boundary walls of existing public and community buildings","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Construction of Retaining Wall at Angadi Road South Channel in Meenambanallur Village","SELVARAJ V","NAGAPATTINAM(SC)","Images","29-Jul-2025","999900"
"11972","Normal/Others","WS/MP18083/2025-2026/219553-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Concrete paving of the road from Jattipalla to Kanathila in Sulya Town Panchayat","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","29-Jul-2025","499997"
"11973","Normal/Others","WS/	 MP578/2025-2026/164563-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","hingalla kabrastan ma pevar block na rasta nu kaam","Mansukhbhai Dhanjibhai Vasava","BHARUCH","N/A","20-Aug-2025","399942"
"11974","Normal/Others","WS/	 MP620/2024-2025/133307-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319","Pralhad Venkatesh Joshi","DHARWAD","Images","29-Jul-2025","398955"
"11975","Normal/Others","WS/MP18338/2025-2026/207179-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Installation of 30W (28Nos) LED Street Lights in Mallareddygudem(V)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","29-Jul-2025","99906"
"11976","Normal/Others","WS/MP18369/2025-2026/187447-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA)","Grampanchayat Varud Yethil ashwinipur yethe Dharma chavan yanchya gharapasun te govind chavan yanchya gharaparynt cement concrete road bandhkam karne.","Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","Images","31-Jul-2025","484924"
"11977","Normal/Others","WS/MP18338/2025-2026/207181-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Installation of 30W (28Nos) LED Street Lights in Puttapaka(V)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","29-Jul-2025","99906"
"11978","Normal/Others","WS/MP18338/2025-2026/207184-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Installation of 30W (14Nos) LED Street Lights Rachakonda (V)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","29-Jul-2025","49953"
"11979","Normal/Others","WS/MP18338/2025-2026/207182-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Installation of 30W (28Nos) LED Street Lights in Sarvel(V)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","29-Jul-2025","99906"
"11980","Normal/Others","WS/MP18338/2025-2026/207188-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Installation of 30W (14Nos) LED Street Lights in Gangamulla Thanda(V)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","29-Jul-2025","49953"
"11981","Normal/Others","WS/MP18338/2025-2026/207186-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Installation of 30W (42Nos) LED Street Lights in Gujja(V)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","Images","29-Jul-2025","149859"
"11982","Normal/Others","WS/MP541/2025-2026/162666-Street lights","Assam","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","Instalation of 10 nos of Solar Street Lights at the following places Kutayani Anchalik Kabarsthan,  Madhya Sialmari Kabarsthan Dakhin,  Madhya Sialmari Kabarsthan,  Morongial Kabarsthan, Kutubia Kabarstha, Dakarghat G.P., Nagaon","Pradyut Bordoloi","NOWGONG","N/A","01-Jan-2026","260000"
"11983","Normal/Others","WS/MP508/2025-2026/189214-Construction of community centers and community halls","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Construction of Multi Purpose Building at Madavalam in Madapalli Panchayat","CN Annadurai","TIRUVANNAMALAI","N/A","29-Jul-2025","699930"
"11984","Normal/Others","WS/MP756/2025-2026/170885-Construction of water tanks","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Overhead Tank (OHT) 30,000 Litre Capacity at Natarajapuram Village Vasaputhur Panchayat in Parangipettai Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","09-Oct-2025","1841434"
"11985","Normal/Others","WS/MP858/2024-2025/167651-Purchase of IT systems, including hardware and software for educational purposes","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","INSTALLATION EQUIPMENT AT COMPUTER LAB OF CHANDI DAS MAHABIDYALAYA,KHUJUTIPARA ,KADDA GP .EXECUTING AGENCY  EO NANOOR PANCHAYAT SAMITY.","Asit Kumar Mal","BOLPUR(SC)","Images","29-Jul-2025","899970"
"11986","Normal/Others","WS/MP746/2025-2026/212907-Purchase of hospital equipment","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Purchase of hospital equipment (X-ray Machine) in Sayalkudi Govt Hospital.","Kani K Navas","RAMANATHAPURAM","Images","06-Aug-2025","398000"
"11987","Normal/Others","WS/MP18190/2025-2026/161437-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0 Hp Pumpset near Temple near Mathru Raju house at Laknepalle Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","29-Jul-2025","133843"
"11988","Normal/Others","WS/MP18190/2025-2026/162186-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well at Hanuman Statue at Jangalapally Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","29-Jul-2025","41999"
"11989","Normal/Others","WS/MP18190/2025-2026/162208-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of 1.0 HP pumpset at Korra Shoban (H) in Parshunayak Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","137071"
"11990","Normal/Others","WS/MP18190/2025-2026/163803-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore Well and Fixing of 1.0 HP pumpset near NH Road","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","137350"
"11991","Normal/Others","WS/MP18190/2025-2026/161416-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0 Hp Pumpset infornt of nursary at Itikalapalle Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","132797"
"11992","Normal/Others","WS/MP429/2025-2026/219618-Installing tube-wells and borewells","Chhattisgarh","KORBA(Collector-Korba)","Pump and bore near Gulab Ghar","Jyotsna Charandas Mahant","KORBA","Images","09-Aug-2026","250000"
"11993","Normal/Others","WS/MP429/2025-2026/219619-Installing tube-wells and borewells","Chhattisgarh","KORBA(Collector-Korba)","Pump and bore at Tanera Basti.","Jyotsna Charandas Mahant","KORBA","Images","09-Aug-2026","248827"
"11994","Normal/Others","WS/MP18190/2025-2026/161429-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of Hand pump set near Cheruvu Katta at Itikalapalle Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","78643"
"11995","Normal/Others","WS/MP393/2025-2026/167655-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Paver Block Road at Vaalukkuveli Ambalam road, Nagarampatti Village, Nagarampatti Panchayat in Kalaiyarkovil Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","30-Jul-2025","699853"
"11996","Normal/Others","WS/MP18064/2024-2025/167816-Construction of roads, link roads, pathways or any other road with or without drainage system","Haryana","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","Construction of street drain from shop of Jarnail  to house of Ramesh  and  Kulwant shop to BC Chaupal","NAVEEN JINDAL","KURUKSHETRA","Images","22-Aug-2025","356725"
"11997","Normal/Others","WS/MP18210/2025-2026/195532-Lighting of public spaces","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Supply and installation of LED semi high mast lights at 51 different places in Harhua, Cholapur, Chiraigaon and Pindra Block in district Varanasi, Chandauli Loksabha (as per list enclosed).","VIRENDRA SINGH","CHANDAULI","Images","30-Jul-2025","9026089"
"11998","Normal/Others","WS/MP18190/2025-2026/161434-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0 Hp Pumpset near Temple at Maheshwaram Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","131353"
"11999","Normal/Others","WS/MP18190/2025-2026/161436-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well at Nallala Bavi at Bhanjipet Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","28917"
"12000","Normal/Others","WS/MP18265/2025-2026/154835-Construction of boundary walls of existing public and community buildings","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Compound Wall at Boys Government Higher Secondary School in Thorapadi Town Panchayat 50m","M.K. VISHNUPRASAD","CUDDALORE","Images","30-Jul-2025","500000"
"12001","Normal/Others","WS/MP18192/2025-2026/216160-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole at Rajanagar","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","199849"
"12002","Normal/Others","WS/MP18311/2025-2026/199880-Construction of common work sheds/ common covered sitting area","Punjab","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Construction of  shed near dargah at village manakpur sharif","MALVINDER SINGH KANG","ANANDPUR SAHIB","Images","20-Apr-2026","500000"
"12003","Normal/Others","WS/MP18192/2025-2026/216163-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole at Yedutla","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","199849"
"12004","Normal/Others","WS/MP393/2025-2026/167656-Lighting of public spaces","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Mini Mass Light at Kalaiyarmangalam Village, Kalaiyarmangalam Panchayat in Kalaiyarkovil Block","Shri Karti P Chidambaram","SIVAGANGA","N/A","30-Jul-2025","499517"
"12005","Normal/Others","WS/MP18058/2024-2025/172415-Tree plantation for community","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","no24 save no 147 par forestvibhag dwara vruksharona mate niyamit pani puro Padava atyantjaruri che j mate mahisagar nadi Mathi pani uthavav mate jaruri sadhno pura Padova n kamgiri","DR. HEMANG JOSHI","VADODARA","Images","30-Jul-2025","500000"
"12006","Normal/Others","WS/MP18058/2024-2025/172083-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","sandhasal game  goma nadi thi mandir tarf na raste RCC road n kamgiri","DR. HEMANG JOSHI","VADODARA","Images","30-Jul-2025","500000"
"12007","Normal/Others","WS/MP18058/2025-2026/179061-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","nava shihora game mahisagar nadi tart javana rasti RCC road ni kamgiri","DR. HEMANG JOSHI","VADODARA","Images","30-Jul-2025","450000"
"12008","Normal/Others","WS/MP18058/2024-2025/172002-Construction of culverts and bridges","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","lotta game narmda vasahatma pipenada n kamgiri","DR. HEMANG JOSHI","VADODARA","Images","30-Jul-2025","500000"
"12009","Normal/Others","WS/MP18058/2024-2025/172001-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","adalwada game carves Marg par pear block n kamgiri","DR. HEMANG JOSHI","VADODARA","Images","30-Jul-2025","250000"
"12010","Normal/Others","WS/MP18192/2025-2026/216164-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole at Chityala","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","199849"
"12011","Normal/Others","WS/MP18252/2024-2025/151041-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of (05) nos. Solar high mast street light at different place of Patashpur -I Block","ADHIKARI SOUMENDU","KANTHI","N/A","27-Jan-2026","1349724"
"12012","Normal/Others","WS/MP18192/2025-2026/216158-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole (2 Nos) at Kesampeta","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","399697"
"12013","Normal/Others","WS/MP18252/2024-2025/151039-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of (05) nos. Solar high mast street light at different place of Bhagabanpur-I Block","ADHIKARI SOUMENDU","KANTHI","N/A","27-Jan-2026","1349724"
"12014","Normal/Others","WS/MP18192/2025-2026/216162-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole at REvally Lingamayyagutta","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","399697"
"12015","Normal/Others","WS/MP18192/2025-2026/216159-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole (2 Nos) at Ayyavaripally","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","399697"
"12016","Normal/Others","WS/MP18252/2024-2025/151040-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of (05) nos. Solar high mast street light at different place of Chandipur Block","ADHIKARI SOUMENDU","KANTHI","N/A","27-Jan-2026","1349724"
"12017","Normal/Others","WS/MP18192/2025-2026/216157-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole (2 Nos) at Gopalpeta","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","399697"
"12018","Normal/Others","WS/MP18192/2025-2026/216161-Lighting of public spaces","Telangana","WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA)","High Mast Lights with pole at Peddagudem","DR.MALLU RAVI","NAGARKURNOOL(SC)","Images","30-Jul-2025","199849"
"12019","Normal/Others","WS/MP18190/2025-2026/161470-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell at Bhukya Narsimham (H) at Maheshwaram Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","33048"
"12020","Normal/Others","WS/MP18190/2025-2026/161471-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell at Smashanavatika at Itikalapalle Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","39244"
"12021","Normal/Others","WS/MP18069/2025-2026/211611-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","CO Pucca path from Sarian to Dehba ward no 4","RAJEEV BHARDWAJ","KANGRA","Images","28-Jan-2026","250000"
"12022","Normal/Others","WS/MP829/2024-2025/164113-Construction of bus-sheds or bus-stops","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Construction of Passenger Waiting Shed at Nahala Auto Stand in the area of Bangalpur GP","Smt Sajda Ahmed","ULUBERIA","Images","30-Jul-2025","492583"
"12023","Normal/Others","WS/MP770/2025-2026/181635-Installing tube-wells and borewells","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Drilling of Bore well and Pump set in SC Colony, Sirikonda village of Kathlapur mandal","Sanjay Kumar Bandi","KARIMNAGAR","Images","31-Jul-2025","175773"
"12024","Normal/Others","WS/MP747/2025-2026/181344-Construction of bus-sheds or bus-stops","Tamil Nadu","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Construction of bus-shelter in Nallamanaickenpatti village and panchayat","Manickam Tagore B","VIRUDHUNAGAR","Images","30-Jul-2025","749455"
"12025","Normal/Others","WS/MP681/2024-2025/143971-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Construction of CC Road at Wadi Kh. Tal.Palam. (SC)","Sanjay Haribhau Jadhav","PARBHANI","Images","30-Jul-2025","498686"
"12026","Normal/Others","WS/MP18217/2025-2026/197963-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","on Tundla Etah road from sonalika tractor agency to maharaj sing dhankar house 350 meter cc and drainage","AKSHAYA YADAV","FIROZABAD","N/A","19-Jan-2026","6995042"
"12027","Normal/Others","WS/MP18123/2025-2026/169715-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Road","CHHATRAPATI SHAHU SHAHAJI","KOLHAPUR","Images","02-Feb-2026","942064"
"12028","Normal/Others","WS/MP508/2025-2026/166146-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing CC pavement in Mariyamman koil street at Pudupattu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","18-Mar-2026","199863"
"12029","Normal/Others","WS/MP18183/2024-2025/143544-Construction of buildings for community cultural activities","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Construction of a new art theater in Valaphramankadu panchayat,peravaurani","MURASOLI S","THANJAVUR","Images","30-Jul-2025","1191491"
"12030","Normal/Others","WS/MP18173/2025-2026/196685-Lighting of public spaces","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing of Installation in High Mass Light 12 Mt, 150W, LED Light 6 No. at Brammadesam ADC Panchayat in Vempakkam Block","THARANIVENTHAN M S","ARANI","Images","31-Jul-2025","750000"
"12031","Normal/Others","WS/MP18338/2025-2026/179197-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Providing of CrashBarrier to Mathyagiri gutta Ghat road Anjaneya Swamy Statue to Temple in Venkatapuram Village","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","30-Jul-2025","500000"
"12032","Normal/Others","WS/MP18190/2025-2026/161474-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of Hand pumpset near Durgamma statue at Chekram Thanda of Kammepalle Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","77956"
"12033","Normal/Others","WS/MP18190/2025-2026/162185-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0 HP pumpset at Ajmeera Somla (H) at Ramulnayak Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","131925"
"12034","Normal/Others","WS/MP18190/2025-2026/162188-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0 HP pumpset at Beeranna statue at Dasaripally Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","136157"
"12035","Normal/Others","WS/MP18190/2025-2026/162190-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well at Chervu end at Parshunayak Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","42688"
"12036","Normal/Others","WS/MP18190/2025-2026/162191-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0 HP pumpset at Hanuman Statue in Konda Samudram Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","136015"
"12037","Normal/Others","WS/MP18190/2025-2026/162193-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of 1.0 HP pumpset at Banoth Mohan (H) in Manjyanaik Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","131761"
"12038","Normal/Others","WS/MP18190/2025-2026/162194-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell at Canal Side in Parshunayak Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","41999"
"12039","Normal/Others","WS/MP18190/2025-2026/162211-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of 3.0 HP pumpset in front of Nallala Bavi in Parshunayak Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","157662"
"12040","Normal/Others","WS/MP18190/2025-2026/162207-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of 1.0 HP pumpset at Hanuman Statue in Enugal Thanda Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","30-Jul-2025","136391"
"12041","Normal/Others","WS/MP18190/2025-2026/162197-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of Hand pumpset near Ilaiah (H) at Rajeswaraopally Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","78643"
"12042","Normal/Others","WS/MP18190/2025-2026/161767-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Fixing of 3.0HP pimpset near SC colony at Bollanipalli, Arshanapalli(V)","BALRAM NAIK PORIKA","MAHABUBABAD","N/A","31-Jul-2025","83041"
"12043","Normal/Others","WS/MP18190/2025-2026/161566-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well village end at Murali Nagar at Kondapur Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","43377"
"12044","Normal/Others","WS/MP18190/2025-2026/161567-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of 3.0 HP pumpset near Peddamma Temple at Narakkapet Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","158091"
"12045","Normal/Others","WS/MP18190/2025-2026/161778-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore Well Near Road Side at Regulagadda in Kondapur(V)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","43377"
"12046","Normal/Others","WS/MP18190/2025-2026/161777-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0HP Pumpset Near infront of Dumping Yard in Rangapur(V)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","133611"
"12047","Normal/Others","WS/MP18190/2025-2026/163802-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore Well at Near Bandela Doddi","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","44754"
"12048","Normal/Others","WS/MP18190/2025-2026/161783-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0HP Pumpset Near Jangili Ravi(H) at Relakunta(V)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","137461"
"12049","Normal/Others","WS/MP18190/2025-2026/161773-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of Hand Pumpset Near Chander(H) at Laxmi Thanda, Medapalli(V)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","75225"
"12050","Normal/Others","WS/MP18190/2025-2026/161772-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of Hand Pumpset Near Smashanavatika at Valle Narsaiahpally, Nagarajupally(V)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","73160"
